Filename,P_BEAM_WIDTH,P_EN,P_EVALUATION,P_QUEUE_SIZE,P_SLICE,P_SN,P_THRESHOLD,Result Size,Execution Time (sec),Used pmode=2
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD20_SN6_EN15_202603d_053442.txt,262144,15,3,,2,6,20,73,50.063,False
result_SN2_EN12_SLICE3_BEAM_WIDTH262144_THRESHOLD24_EVALUATION1_202603d_224655.txt,262144,12,1,,3,2,24,76,50.083,False
result_SN2_EN10_SLICE64_BEAM_WIDTH262144_THRESHOLD20_EVALUATION1_202603d_222223.txt,262144,10,1,,64,2,20,84,50.147,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD18_SN3_EN14_202603d_043348.txt,262144,14,3,,2,3,18,70,50.171,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD22_SN5_EN14_202603d_060656.txt,262144,14,3,,2,5,22,73,50.18,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD18_SN6_EN13_202603d_012243.txt,262144,13,3,,1,6,18,69,50.202,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD18_SN6_EN12_202603d_045105.txt,262144,12,3,,2,6,18,71,50.25,False
result_SN2_EN10_SLICE64_BEAM_WIDTH262144_THRESHOLD24_EVALUATION2_202603d_222737.txt,262144,10,2,,64,2,24,88,50.25,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD22_SN7_EN14_202603d_025551.txt,262144,14,3,,1,7,22,71,50.276,False
result_SN2_EN10_SLICE1_BEAM_WIDTH262144_THRESHOLD20_EVALUATION1_202603d_215612.txt,262144,10,1,,1,2,20,84,50.284,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD24_SN6_EN15_202603d_065323.txt,262144,15,3,,2,6,24,77,50.289,False
result_SN2_EN10_SLICE1_BEAM_WIDTH262144_THRESHOLD22_EVALUATION2_202603d_220033.txt,262144,10,2,,1,2,22,72,50.29,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD16_SN5_EN11_202603d_040311.txt,262144,11,3,,2,5,16,67,50.32,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD18_SN5_EN13_202603d_044555.txt,262144,13,3,,2,5,18,71,50.353,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD20_SN6_EN13_202603d_053228.txt,262144,13,3,,2,6,20,73,50.395,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD16_SN6_EN12_202603d_041122.txt,262144,12,3,,2,6,16,67,50.481,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD18_SN6_EN11_202603d_012030.txt,262144,11,3,,1,6,18,68,50.528,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD24_SN7_EN13_202603d_033729.txt,262144,13,3,,1,7,24,75,50.528,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD18_SN4_EN10_202603d_043604.txt,262144,10,3,,2,4,18,68,50.576,False
result_SN2_EN12_SLICE64_BEAM_WIDTH262144_THRESHOLD20_EVALUATION1_202603d_225529.txt,262144,12,1,,64,2,20,84,50.633,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD24_SN6_EN12_202603d_033000.txt,262144,12,3,,1,6,24,71,50.638,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD22_SN7_EN10_202603d_061531.txt,262144,10,3,,2,7,22,79,50.716,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD18_SN5_EN11_202603d_011322.txt,262144,11,3,,1,5,18,61,50.786,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD24_SN7_EN15_202603d_065957.txt,262144,15,3,,2,7,24,78,50.797,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD24_SN2_EN15_202603d_062721.txt,262144,15,3,,2,2,24,67,50.799,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD16_SN3_EN15_202603d_035412.txt,262144,15,3,,2,3,16,69,50.829,False
result_SN2_EN12_SLICE64_BEAM_WIDTH262144_THRESHOLD22_EVALUATION1_202603d_225731.txt,262144,12,1,,64,2,22,81,50.868,False
result_SN2_EN10_SLICE32_BEAM_WIDTH262144_THRESHOLD20_EVALUATION1_202603d_221617.txt,262144,10,1,,32,2,20,83,50.911,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD24_SN4_EN13_202603d_063829.txt,262144,13,3,,2,4,24,70,50.961,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD16_SN5_EN12_202603d_002943.txt,262144,12,3,,1,5,16,63,50.981,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD16_SN7_EN15_202603d_042113.txt,262144,15,3,,2,7,16,73,50.986,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD16_SN5_EN10_202603d_040208.txt,262144,10,3,,2,5,16,69,51.0,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD18_SN6_EN10_202603d_011925.txt,262144,10,3,,1,6,18,67,51.069,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD16_SN6_EN13_202603d_003801.txt,262144,13,3,,1,6,16,66,51.071,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD24_SN4_EN14_202603d_063936.txt,262144,14,3,,2,4,24,75,51.102,False
